,Questions,Options,Answers
0,1. It is considered negligent when the nurse delegates which of the following tasks to a CNA?,a.Ambulating a patient to the restroom.b.Nasotracheal suctioning an alert and oriented patient.c. Obtaining a urine sample from the Foley catheter.d. Obtaining a blood glucose value using a lancet and password protected glucometer.,"b. The scope of practice of CNAÕs allows for sampling of urine and blood with an 
appropriate order and delegation by a registered nurse.  Ambulating a patient in a safe 
manner is also acceptable.  Invasive procedures such as nasotracheal suctioning are 
beyond the scope of practice of non-licensed assistive personnel.
"
1,2. The nurse should intervene when observing a student nurse doing the following:,a.Not aspirating before injecting insulin.b.Performing an intra-muscular injection at a 90-degree angle.c.Using the patientÕs name and date of birth to conÞrm their identity.d.Preparing oral medications for more than one patient at a time.,"d. Intramuscular injection can be performed at a 90-degree angle and subcutaneous 
injections do not require aspiration, although IM injections do, to rule out accidental 
intravascular placement.  Patient identiÞers include name, date of birth, room number, 
and medical ID number.  Preparing medications for more than one patient at a time can 
create confusion and increases the chance of medication errors.
"
2,4. The nurse has several tasks to perform this afternoon.  Which of the following should the nurse delegate to the CNA?pressures.,a.Assessing the breath sounds of a patient with shortness of breath.b.Removing a pressure ulcer dressing in anticipation of the rounding physician.c.Performing a rectal temperature on a febrile patient receiving Tylenol.d.Administering tube feeding through the Dobhoff of a patient with increased intracranial ,"d. In most states CNAÕs are not allowed to perform invasive procedures like rectal 
temperatures, apply or remove dressings, or perform assessments especially when a 
change in the patientÕs conditions requires nursing skills.  Administering tube feedings is 
acceptable despite the increased ICP.  As long as the tube is already in place and itÕs 
appropriate position conÞrmed and the CNA is following orders closely, they are 
practicing within their guidelines and in no threat of increasing the ICP any further.
"
3,"5. The nurse observes a female patient appearing nervous during the health history when her husband is present.  She continually glances at her husband before answering questions.  Several bruises in various stages of healing are present on physical examination around her back and shoulders along with several abrasions.  How should the nurse chart the Þndings?healing, abuse suspected.Óbetween shoulder blades 1 inch in length.Ó",a.ÒTwo abrasions measuring 1 inch in length and several small bruises.Ób.ÒMultiple bruises and abrasions the result of blunt trauma.Óc.ÒTwo abrasions measuring 1 inch in length and Þve bruises in multiple stages of d.ÒFive bruises along lower back in multiple stages of healing and two open abrasions ,"d. Charting based on speculation is not a standard of practice.  Only include objective 
information and observations.  Remember to include measurable information when 
possible.
"
4,6.  A nurse on the neurology unit has the following patients.  Which would be the most concerning and require the nurse to contact the physician?ICP that has risen from 6 mmHg to 11 mmHg.,"a.A patient who states, ÒI have a headache and my balance has been off all dayÓ.b.A patient becomes dizzy and almost falls when standing from a seated position.c.A patient states, ÒMy vision becomes blurring when I get up in the morningÓ.d.A patient recovering from a motor vehicle collision with intracranial monitoring and an ","a.The patient may be experiencing a stroke.  Headache is a warning sign along with 
subjective Þndings such as feeling ÒfunnyÓ or ÒoffÓ.  Orthostatic hypotension is not an 
urgent situation and normal ICP ranges from 5 mmHg to 15 mmHg.
"
5,8. The home care nurse reviews the patient list in order to prioritize home visitations.  Which patient should the nurse see Þrst?oxygen.feet.c.A 45-year-old reporting a cough 3 days post hysterectomy.hernia repair.,a.A 65-year-old patient with chronic obstructive pulmonary disease on supplemental b.A 40-year-old patient diagnosed with type 2 diabetes reporting poor sensation in his d.A 50-year-old complaining of tenderness at the incision site 2 days post inguinal ,"c. Patients are at a high risk for pulmonary embolism after hysterectomy surgery.  
Shortness of breath, cough, and chest pain are common signs.  The COPD and 
diabetes patients are experiences expected complications of non-acute diseases.  
Although the inguinal hernia is an acute problem, it is an expected Þnding.
"
6,"9. The nurse driving home from work comes upon a multiple motor vehicle accident.  As the Þrst responder on site, which person should the nurse see Þrst?singed nose hairs noted.disoriented.","a.A child crying and clutching a visibly disÞgured and bloody arm, appears pale.b.An older man standing at side of road yelling in a hoarse tone of voice that he is ÒÞneÓ, c.A woman with deep abrasions to head who is reporting severe pain and appears d.A middle-aged man with blistered burns on upper and lower back with rapid pulse.","b. This patient has signs of inhalation injury and must be triaged Þrst as prompt 
intervention can prevent swelling of the airway from edema.  Although many other 
people are displaying volume loss, shock, pain, and head trauma, the airway is always 
the Þrst consideration.
"
7,10.  A new graduate nurse is assigned to take care of a patient with acquired immune deÞciency syndrome (AIDS).  The new graduate refuses to enter the patientÕs room and asks to be assigned to another patient.  How should the nurse best respond to this situation?be a good opportunity for you.Ósuffering.Ó,"a.ÒAs a new graduate nurse it is important to gain exposure to all patient types.  This will b.ÒRegardless of personal view, it is our duty as nurses to take care of the sick and c.ÒI noticed that you seem uncomfortable with this patient assignment.Ód.ÒWe will assign you to a different patient.Ó","c. Therapeutic communication involves open-ended questions and restating what the 
person has shared.  This allows them to reßect and expand on their feelings.  Abrasive, 
dismissive, or judgmental responses are not helpful.
"
8,"11. After reviewing voicemails left from home care patients, which message will the home health care nurse return Þrst?and bicep.","a.A patient with coronary artery disease who is complaining of pain along his shoulders b.A patient with osteoarthritis reporting warmth and tenderness in her left knee.c.A patient complaining of sudden swelling, warmth, and 8/10 pain in both lower legs.d.A patient reporting rebound abdominal pain and a fever.","a.The patient is displaying symptoms of a heart attack.  Although immediate intervention 
must take place with bilateral deep vein thrombosis and appendicitis, a myocardial 
infarction presents a greater risk of mortality.
"
9,12. The nurse plans to administer carbamazepine 100 mg to a patient for the off-label indication of restless leg syndrome.  What is the most important laboratory test that the nurse should perform?,a.White blood cell and platelet count.b.Thyroid stimulating hormone.c.Arterial blood gas.d.Serum potassium.,"a.Carbamazepine can cause aplastic anemia, a disease in which the bone marrow and 
blood stem cells are damaged.  This causes a deÞciency in white blood cells, 
platelets, and red blood cells.  Screening for deÞcits in platelets, red blood cells, and 
red blood cells prior to initiation of therapy is important.
"
