inference_images,inspection_time,status,reason,selected_model
['localhost:3306/62873478d6a45b81cd4fa6d1.jpg'],2022-05-20 11:56:00.397131,Rejected,['MR197'],MR192
['localhost:3306/62873490d6a45b81cd4fa6d2.jpg'],2022-05-20 11:56:24.770253,Accepted,"['MR235', 'MR197']",MR197
['localhost:3306/6287349ad6a45b81cd4fa6d3.jpg'],2022-05-20 11:56:34.203312,Rejected,['MR197'],MR235
['localhost:3306/628734a1d6a45b81cd4fa6d4.jpg'],2022-05-20 11:56:41.700708,Rejected,['MR192'],MR244
['localhost:3306/628734a8d6a45b81cd4fa6d5.jpg'],2022-05-20 11:56:48.325983,Rejected,['MR192'],MR270
['localhost:3306/62873b4c43b899e80b310816.jpg'],2022-05-20 12:25:08.424441,Accepted,['MR192'],MR192
['localhost:3306/62873b5043b899e80b310817.jpg'],2022-05-20 12:25:12.513950,Rejected,['MR192'],MR197
['localhost:3306/62873b5243b899e80b310818.jpg'],2022-05-20 12:25:14.381033,Rejected,['MR192'],MR197
['localhost:3306/62873b5543b899e80b310819.jpg'],2022-05-20 12:25:17.370257,Rejected,['MR192'],MR197
['localhost:3306/628745a48b02a4aff0e66825.jpg'],2022-05-20 13:09:16.153688,Accepted,['MR192'],MR192
['localhost:3306/628745a78b02a4aff0e66826.jpg'],2022-05-20 13:09:19.460698,Accepted,['MR192'],MR192
['localhost:3306/628745aa8b02a4aff0e66827.jpg'],2022-05-20 13:09:22.754646,Accepted,['MR192'],MR192
['localhost:3306/628745ad8b02a4aff0e66828.jpg'],2022-05-20 13:09:25.860541,Accepted,['MR192'],MR192
['localhost:3306/628745b08b02a4aff0e66829.jpg'],2022-05-20 13:09:28.676011,Accepted,['MR192'],MR192
['localhost:3306/628745b28b02a4aff0e6682a.jpg'],2022-05-20 13:09:30.821835,Accepted,['MR192'],MR192
['localhost:3306/628745b58b02a4aff0e6682b.jpg'],2022-05-20 13:09:33.604480,Accepted,['MR192'],MR192
['localhost:3306/628745b88b02a4aff0e6682c.jpg'],2022-05-20 13:09:36.225941,Accepted,['MR192'],MR192
['localhost:3306/628745bb8b02a4aff0e6682d.jpg'],2022-05-20 13:09:39.378160,Accepted,['MR192'],MR192
['localhost:3306/628745be8b02a4aff0e6682e.jpg'],2022-05-20 13:09:42.071211,Accepted,['MR192'],MR192
['localhost:3306/628745c78b02a4aff0e6682f.jpg'],2022-05-20 13:09:51.214407,Rejected,['MR192'],MR197
['localhost:3306/628745ca8b02a4aff0e66830.jpg'],2022-05-20 13:09:53.919508,Rejected,['MR192'],MR197
['localhost:3306/628745cc8b02a4aff0e66831.jpg'],2022-05-20 13:09:55.881169,Rejected,['MR192'],MR197
['localhost:3306/628745d28b02a4aff0e66832.jpg'],2022-05-20 13:10:02.668303,Rejected,['MR192'],MR235
['localhost:3306/628745d48b02a4aff0e66833.jpg'],2022-05-20 13:10:04.607201,Rejected,['MR192'],MR235
['localhost:3306/628745d68b02a4aff0e66834.jpg'],2022-05-20 13:10:06.261007,Rejected,['MR192'],MR235
['localhost:3306/628745d98b02a4aff0e66835.jpg'],2022-05-20 13:10:09.674182,Rejected,['MR192'],MR244
['localhost:3306/628745dc8b02a4aff0e66836.jpg'],2022-05-20 13:10:11.925768,Rejected,['MR192'],MR244
['localhost:3306/628745df8b02a4aff0e66837.jpg'],2022-05-20 13:10:15.667572,Rejected,['MR192'],MR270
['localhost:3306/628745e18b02a4aff0e66838.jpg'],2022-05-20 13:10:17.499179,Rejected,['MR192'],MR270
['localhost:3306/628746068b02a4aff0e66839.jpg'],2022-05-20 13:10:54.724693,Accepted,['MR192'],MR192
